;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Código;Nombre de Comuna;Hombre;Mujer;Total;;;;;
;11301;Cochrane;   1 779;   1 679;   3 458;;;;;
;11302;O'Higgins;    331;    316;    647;;;;;
;11303;Tortel;    269;    236;    505;;;;;
;11401;Chile Chico;   2 478;   2 427;   4 905;;;;;
;11402;Río Ibáñez;   1 410;   1 313;   2 723;;;;;
;12101;Punta Arenas;   65 028;   67 335;   132 363;;;;;
;12102;Laguna Blanca;    187;    82;    269;;;;;
;12103;Río Verde;    72;    30;    102;;;;;
;12104;San Gregorio;    151;    90;    241;;;;;
;12201;Cabo de Hornos;    881;    869;   1 750;;;;;
;12202;Antártica;    56;    4;    60;;;;;
;12301;Porvenir;   3 592;   3 217;   6 809;;;;;
;12302;Primavera;    237;    194;    431;;;;;
;12303;Timaukel;    95;    62;    157;;;;;
;12401;Natales;   12 064;   12 088;   24 152;;;;;
;12402;Torres del Paine;    118;    85;    203;;;;;
;13101;Santiago;   223 237;   215 619;   438 856;;;;;
;13102;Cerrillos;   41 216;   43 825;   85 041;;;;;
;13103;Cerro Navia;   62 329;   64 921;   127 250;;;;;
;13104;Conchalí;   59 122;   62 465;   121 587;;;;;
;13105;El Bosque;   75 720;   79 537;   155 257;;;;;
;13106;Estación Central;   88 630;   92 419;   181 049;;;;;
;13107;Huechuraba;   49 479;   52 329;   101 808;;;;;
;13108;Independencia;   56 916;   60 027;   116 943;;;;;
;13109;La Cisterna;   49 154;   54 003;   103 157;;;;;
;13110;La Florida;   178 461;   196 375;   374 836;;;;;
;13111;La Granja;   54 758;   57 264;   112 022;;;;;
;13112;La Pintana;   85 240;   90 181;   175 421;;;;;
;13113;La Reina;   42 260;   47 610;   89 870;;;;;
;13114;Las Condes;   137 984;   158 150;   296 134;;;;;
;13115;Lo Barnechea;   53 609;   59 011;   112 620;;;;;
;13116;Lo Espejo;   43 095;   44 200;   87 295;;;;;
;13117;Lo Prado;   44 300;   46 990;   91 290;;;;;
;13118;Macul;   58 479;   65 321;   123 800;;;;;
;13119;Maipú;   240 903;   262 732;   503 635;;;;;
;13120;Ñuñoa;   111 613;   129 854;   241 467;;;;;
;13121;Pedro Aguirre Cerda;   47 073;   48 989;   96 062;;;;;
;13122;Peñalolén;   114 260;   122 218;   236 478;;;;;
;13123;Providencia;   67 329;   76 645;   143 974;;;;;
;13124;Pudahuel;   109 673;   118 147;   227 820;;;;;
;13125;Quilicura;   99 649;   105 975;   205 624;;;;;
;13126;Quinta Normal;   63 130;   66 221;   129 351;;;;;
;13127;Recoleta;   76 020;   78 595;   154 615;;;;;
;13128;Renca;   69 985;   73 637;   143 622;;;;;
;13129;San Joaquín;   45 983;   49 619;   95 602;;;;;
;13130;San Miguel;   71 229;   79 600;   150 829;;;;;
;13131;San Ramón;   37 417;   38 585;   76 002;;;;;
;13132;Vitacura;   39 914;   46 506;   86 420;;;;;
;13201;Puente Alto;   273 928;   294 158;   568 086;;;;;
;13202;Pirque;   14 399;   14 661;   29 060;;;;;
;13203;San José de Maipo;   8 674;   8 767;   17 441;;;;;
;13301;Colina;   86 925;   86 368;   173 293;;;;;
;13302;Lampa;   72 328;   72 832;   145 160;;;;;
;13303;Tiltil;   9 940;   9 802;   19 742;;;;;
;13401;San Bernardo;   148 696;   157 675;   306 371;;;;;
;13402;Buin;   56 564;   60 405;   116 969;;;;;
;13403;Calera de Tango;   12 607;   12 884;   25 491;;;;;
;13404;Paine;   38 873;   39 955;   78 828;;;;;
;13501;Melipilla;   66 759;   69 566;   136 325;;;;;
;13502;Alhué;   3 863;   3 905;   7 768;;;;;
;13503;Curacaví;   17 226;   17 939;   35 165;;;;;
;13504;María Pinto;   7 559;   7 793;   15 352;;;;;
;13505;San Pedro;   5 696;   5 412;   11 108;;;;;
;13601;Talagante;   37 488;   38 941;   76 429;;;;;
;13602;El Monte;   18 347;   19 150;   37 497;;;;;
;13603;Isla de Maipo;   19 401;   19 873;   39 274;;;;;
;13604;Padre Hurtado;   39 781;   41 462;   81 243;;;;;
;13605;Peñaflor;   45 612;   48 790;   94 402;;;;;
;14101;Valdivia;   81 660;   88 383;   170 043;;;;;
;14102;Corral;   2 746;   2 755;   5 501;;;;;
;14103;Lanco;   8 133;   8 743;   16 876;;;;;
;14104;Los Lagos;   10 596;   10 835;   21 431;;;;;
;14105;Máfil;   3 947;   4 127;   8 074;;;;;
;14106;Mariquina;   11 180;   11 793;   22 973;;;;;
;14107;Paillaco;   9 535;   10 267;   19 802;;;;;
;14108;Panguipulli;   17 044;   18 054;   35 098;;;;;
;14201;La Unión;   18 865;   20 042;   38 907;;;;;
;14202;Futrono;   7 615;   8 020;   15 635;;;;;
;14203;Lago Ranco;   5 181;   5 346;   10 527;;;;;
;14204;Río Bueno;   16 232;   17 131;   33 363;;;;;
;15101;Arica;   118 844;   122 809;   241 653;;;;;
;15102;Camarones;    430;    431;    861;;;;;
;15201;Putre;    846;    701;   1 547;;;;;
;15202;General Lagos;    261;    247;    508;;;;;
;16101;Chillán;   89 482;   100 900;   190 382;;;;;
;16102;Bulnes;   11 472;   12 391;   23 863;;;;;
;16103;Chillán Viejo;   15 486;   17 202;   32 688;;;;;
;16104;El Carmen;   6 548;   6 638;   13 186;;;;;
;16105;Pemuco;   4 416;   4 514;   8 930;;;;;
;16106;Pinto;   6 120;   6 382;   12 502;;;;;
;16107;Quillón;   9 375;   9 790;   19 165;;;;;
;16108;San Ignacio;   8 556;   8 849;   17 405;;;;;
;16109;Yungay;   9 232;   9 448;   18 680;;;;;
;16201;Quirihue;   5 685;   6 061;   11 746;;;;;
;16202;Cobquecura;   2 693;   2 802;   5 495;;;;;
;16203;Coelemu;   7 760;   8 135;   15 895;;;;;
;16204;Ninhue;   2 831;   2 932;   5 763;;;;;
;16205;Portezuelo;   2 588;   2 615;   5 203;;;;;
;16206;Ránquil;   3 197;   3 311;   6 508;;;;;
;16207;Trehuaco;   3 069;   3 055;   6 124;;;;;
;16301;San Carlos;   26 745;   29 102;   55 847;;;;;
;16302;Coihueco;   14 681;   15 085;   29 766;;;;;
;16303;Ñiquén;   6 416;   6 381;   12 797;;;;;
;16304;San Fabián;   2 569;   2 676;   5 245;;;;;
;16305;San Nicolás;   7 516;   7 583;   15 099;;;;;
;TOTAL;;  8 967 033;  9 513 399;  18 480 432;;;;;
;;;;;;;;;;
Fuente: Censo 2024;;;;;;;;;;
Procesado con Redatam WebServer;;;;;;;;;;
2024. CELADE/CEPAL, Naciones Unidas;;;;;;;;;;
;;;;;;;;;;
